 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   7	        182	00000000000000000000000000000000000000000000000000000000001919000000000000000000000000000000000000191900001919000000000000000000000000000019190000000000000000000000000000000000000000000000000000000000	        157	00321900003219000032190000191900001919000032190000321900003219000019190000191900003219000032190000191900001919000019190000321900003219000032190000191900001919000032190000321900003219000019190000191900
   7	        157	00321900003219000032190000191900001919000032190000321900003219000019190000191900003219000032190000191900001919000019190000321900003219000032190000191900001919000032190000321900003219000019190000191900	          8	00321900003219000032189c0032189c0000000000321900003219000032189c0032189c0000000000321900003219000032189c0032189c0000000000321900003219000032189c0032189c0000000000321900003219000032189c0032189c00000000
   7	          8	00321900003219000032189c0032189c0000000000321900003219000032189c0032189c0000000000321900003219000032189c0032189c0000000000321900003219000032189c0032189c0000000000321900003219000032189c0032189c00000000	          0	00000000000000000000000000000000000000000000000000000000001919000000000000000000000000000000000000191900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   7	          0	00000000000000000000000000000000000000000000000000000000001919000000000000000000000000000000000000191900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	        256	001919000019190000191900001919000019190000191900001919000019190000191900001919000000190000191900000000000019190000191900000019000032189c001919000019190000191900000019000032189c0032189c0019190000191900
   8	        256	001919000019190000191900001919000019190000191900001919000019190000191900001919000000190000191900000000000019190000191900000019000032189c001919000019190000191900000019000032189c0032189c0019190000191900	        245	00000000000000000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
   8	        245	00000000000000000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        217	00001900000019000000190000321900000019000000190000000000003219000032190000321900000019000032190000321900003219000032190000001900003219000032190000321900003219000000190000321900003219000032190000321900
   8	        217	00001900000019000000190000321900000019000000190000000000003219000032190000321900000019000032190000321900003219000032190000001900003219000032190000321900003219000000190000321900003219000032190000321900	        209	00000000001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
   8	        209	00000000001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	          8	00191900001919000032189c0032189c0032189c000000000032189c0032189c0032189c0032189c000000000032189c0032189c0032189c0032189c00000000000000000000000000000000000000000000000000000000000000000000000000000000
   8	          8	00191900001919000032189c0032189c0032189c000000000032189c0032189c0032189c0032189c000000000032189c0032189c0032189c0032189c00000000000000000000000000000000000000000000000000000000000000000000000000000000	          2	00001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000321900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900
   8	          2	00001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000321900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900	        265	0032189c0032189c0000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
   9	        265	0032189c0032189c0000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        263	00000000001919000019190000191900001919000000000000191900001919000019190000191900000000000019190000191900001919000019190000000000001919000019190000191900000000000000000000000000000000000000000000000000
   9	        263	00000000001919000019190000191900001919000000000000191900001919000019190000191900000000000019190000191900001919000019190000000000001919000019190000191900000000000000000000000000000000000000000000000000	        253	00000000001919000019190000191900003219000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
   9	        253	00000000001919000019190000191900003219000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	          3	001919000019190000191900001919000032189c000019000019190000191900001919000032189c000019000032189c000000000032189c0032189c000019000032189c0032189c0032189c0032189c000019000032189c0032189c0032189c0032189c
   9	          3	001919000019190000191900001919000032189c000019000019190000191900001919000032189c000019000032189c000000000032189c0032189c000019000032189c0032189c0032189c0032189c000019000032189c0032189c0032189c0032189c	          1	00321900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900
   9	          1	00321900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900	        -76	00321900003219000032189c0032189c0032189c0032190000321900000019000032189c0032189c003219000000190000001900000019000032189c003219000000190000001900000019000032189c0032190000001900000019000032189c0032189c
   9	        -76	00321900003219000032189c0032189c0032189c0032190000321900000019000032189c0032189c003219000000190000001900000019000032189c003219000000190000001900000019000032189c0032190000001900000019000032189c0032189c	        270	00321900003219000032190000321900003219000032190000191900001919000019190000321900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  10	        270	00321900003219000032190000321900003219000032190000191900001919000019190000321900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        265	00000000000000000032189c0032189c0032189c0000000000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  10	        265	00000000000000000032189c0032189c0032189c0000000000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        259	00321900000019000000190000001900000019000019190000001900000019000000190000001900001919000019190000001900000019000000190000191900001919000000190000001900000019000019190000191900000019000000190000001900
  10	        259	00321900000019000000190000001900000019000019190000001900000019000000190000001900001919000019190000001900000019000000190000191900001919000000190000001900000019000019190000191900000019000000190000001900	        255	0032189c000019000000190000001900000019000032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  10	        255	0032189c000019000000190000001900000019000032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        249	0032190000321900003219000032190000321900003219000032190000000000000000000000000000321900000000000000000000000000000000000032189c000000000000000000000000000000000000000000000000000000000000000000000000
  10	        249	0032190000321900003219000032190000321900003219000032190000000000000000000000000000321900000000000000000000000000000000000032189c000000000000000000000000000000000000000000000000000000000000000000000000	        216	0032189c0032189c0019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  10	        216	0032189c0032189c0019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        271	0032189c000019000000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        271	0032189c000019000000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        270	0032189c0032189c0032189c0032189c0032189c0032189c0032189c001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        270	0032189c0032189c0032189c0032189c0032189c0032189c0032189c001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        268	000000000032189c0032189c0032189c0032189c0032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        268	000000000032189c0032189c0032189c0032189c0032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        211	00000000000000000000000000000000000000000000000000191900001919000000000000000000001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        211	00000000000000000000000000000000000000000000000000191900001919000000000000000000001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        209	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  11	        209	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900	          0	00191900000000000000000000000000000000000019190000000000000000000000000000000000001919000000000000000000000000000000000000191900000000000000000000000000000000000019190000000000000000000000000000000000
  11	          0	00191900000000000000000000000000000000000019190000000000000000000000000000000000001919000000000000000000000000000000000000191900000000000000000000000000000000000019190000000000000000000000000000000000	        273	00001900000019000032190000321900003219000019190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000000000000191900001919000019190000000000000000000000000000191900
  12	        273	00001900000019000032190000321900003219000019190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000000000000191900001919000019190000000000000000000000000000191900	        265	00321900003219000032190000321900003219000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
