 Run	    Fitness	        Solution	    Fitness	   Next_Solution
   9	          0	0000000000000000	          0	0000000000000000
   9	          0	0000000000000000	          0	0000000000000000
   9	          0	0000000000000000	          0	0000000000000000
   9	          0	0000000000000000	          0	0000000000000000
  10	        538	00000062000000c4	        357	0000006100000061
  10	        357	0000006100000061	        258	0000005f00000000
  10	        258	0000005f00000000	          0	0000000000000000
  10	          0	0000000000000000	          0	0000000000000000
  10	          0	0000000000000000	          0	0000000000000000
  10	          0	0000000000000000	          0	0000000000000000
  10	          0	0000000000000000	          0	0000000000000000
  10	          0	0000000000000000	          0	0000000000000000
