 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   1	   50523594	11e1a30011e1a300000000000000000005f5e1000000000011e1a3000000000005f5e1000bebc20017d7840005f5e1000000000011e1a3000bebc2000000000017d7840017d7840011e1a30017d784000000000011e1a30017d784000bebc20005f5e100	   50523594	0000000017d784000000000017d7840017d784000000000005f5e10011e1a30005f5e10005f5e10011e1a3000bebc20017d784000000000017d7840017d784000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000000000000
   1	   50523594	0000000017d784000000000017d7840017d784000000000005f5e10011e1a30005f5e10005f5e10011e1a3000bebc20017d784000000000017d7840017d784000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000000000000	   50523594	0000000017d784000000000017d7840017d784000000000005f5e10011e1a30005f5e10005f5e10011e1a3000bebc20017d784000000000017d7840017d784000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000000000000
   1	   50523594	0000000017d784000000000017d7840017d784000000000005f5e10011e1a30005f5e10005f5e10011e1a3000bebc20017d784000000000017d7840017d784000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000000000000	   52606491	0000000017d784000000000017d7840017d784000000000005f5e10011e1a30005f5e10005f5e10011e1a3000bebc20017d784000000000017d7840017d784000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000000000000
   1	   52606491	0000000017d784000000000017d7840017d784000000000005f5e10011e1a30005f5e10005f5e10011e1a3000bebc20017d784000000000017d7840017d784000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000000000000	   53384638	05f5e100000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d78400000000000bebc200000000000000000011e1a300
   1	   53384638	05f5e100000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d78400000000000bebc200000000000000000011e1a300	   53384638	00000000000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300
   1	   53384638	00000000000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300	   53384638	00000000000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300
   1	   53384638	00000000000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300	   53384638	00000000000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300
   1	   53384638	00000000000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300	   53923900	00000000000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300
   1	   53923900	00000000000000000000000005f5e10005f5e10005f5e10011e1a30017d7840005f5e1000000000005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300	   54289954	0000000011e1a30017d7840017d7840011e1a3000000000005f5e10011e1a30011e1a30017d7840011e1a3000bebc20017d784000000000011e1a30017d784000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000017d78400
   1	   54289954	0000000011e1a30017d7840017d7840011e1a3000000000005f5e10011e1a30011e1a30017d7840011e1a3000bebc20017d784000000000011e1a30017d784000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000017d78400	   54289954	00000000000000000000000005f5e1000000000005f5e10011e1a30017d7840005f5e10011e1a30005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300
   1	   54289954	00000000000000000000000005f5e1000000000005f5e10011e1a30017d7840005f5e10011e1a30005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300	   54289954	00000000000000000000000005f5e1000000000005f5e10011e1a30017d7840005f5e10011e1a30005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300
   1	   54289954	00000000000000000000000005f5e1000000000005f5e10011e1a30017d7840005f5e10011e1a30005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300	   54289954	00000000000000000000000005f5e1000000000005f5e10011e1a30017d7840005f5e10011e1a30005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300
   1	   54289954	00000000000000000000000005f5e1000000000005f5e10011e1a30017d7840005f5e10011e1a30005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300	   54397072	00000000000000000000000005f5e1000000000005f5e10011e1a30017d7840005f5e10011e1a30005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300
   1	   54397072	00000000000000000000000005f5e1000000000005f5e10011e1a30017d7840005f5e10011e1a30005f5e10011e1a30011e1a30011e1a3000000000017d784000bebc2000000000011e1a30017d7840017d784000bebc200000000000000000011e1a300	   54397072	000000000000000005f5e10017d7840011e1a300000000000000000011e1a30011e1a3000bebc20011e1a30005f5e10017d784000000000011e1a300000000000bebc20017d784000000000017d7840011e1a3000bebc200000000000000000017d78400
