 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   2	   60469169	11e1a30011e1a300000000000000000005f5e1000000000011e1a3000000000005f5e1000bebc20017d7840005f5e1000000000011e1a3000bebc2000000000017d7840017d7840011e1a30017d784000000000011e1a30017d784000bebc20005f5e100	   73423464	000000000000000011e1a3000bebc20017d784000bebc2000000000005f5e10005f5e10011e1a30011e1a30017d7840011e1a30000000000000000000000000017d7840017d78400000000000000000005f5e10011e1a3000bebc2000bebc20000000000
   2	   73423464	000000000000000011e1a3000bebc20017d784000bebc2000000000005f5e10005f5e10011e1a30011e1a30017d7840011e1a30000000000000000000000000017d7840017d78400000000000000000005f5e10011e1a3000bebc2000bebc20000000000	   76578937	11e1a3000000000000000000000000000bebc2000bebc20005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20011e1a30005f5e10011e1a300000000000bebc20011e1a300
   2	   76578937	11e1a3000000000000000000000000000bebc2000bebc20005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20011e1a30005f5e10011e1a300000000000bebc20011e1a300	   76578937	11e1a300000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20011e1a30005f5e10011e1a300000000000bebc20011e1a300
   2	   76578938	11e1a300000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20011e1a30005f5e10011e1a300000000000bebc20011e1a300	   86806994	11e1a300000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20011e1a30005f5e10011e1a300000000000bebc20011e1a300
   2	   86806994	11e1a300000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20011e1a30005f5e10011e1a300000000000bebc20011e1a300	   86806994	11e1a3000000000000000000000000000bebc2000bebc20011e1a30017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc2000bebc20005f5e10011e1a300000000000bebc20011e1a300
   2	   86806995	11e1a3000000000000000000000000000bebc2000bebc20011e1a30017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc2000bebc20005f5e10011e1a300000000000bebc20011e1a300	   86880190	11e1a3000000000000000000000000000bebc2000bebc20011e1a30017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc2000bebc20005f5e10011e1a300000000000bebc20011e1a300
   2	   86880190	11e1a3000000000000000000000000000bebc2000bebc20011e1a30017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc2000bebc20005f5e10011e1a300000000000bebc20011e1a300	   86880190	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300
   2	   86880191	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300	   86880190	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300
   2	   86880192	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300	   86880190	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300
   2	   86880193	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300	   86880190	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300
   2	   86880194	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300	   86906857	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300
   2	   86906857	05f5e100000000000000000017d784000bebc20017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d7840000000000000000000bebc20011e1a30005f5e10011e1a3000000000011e1a30011e1a300	   86906857	05f5e1000000000011e1a30017d784000bebc20005f5e10017d7840017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000011e1a3000bebc2000bebc20005f5e10011e1a3000000000011e1a30011e1a300
   2	   86906858	05f5e1000000000011e1a30017d784000bebc20005f5e10017d7840017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000011e1a3000bebc2000bebc20005f5e10011e1a3000000000011e1a30011e1a300	   86906857	05f5e1000000000011e1a30017d784000bebc20005f5e10017d7840017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000011e1a3000bebc2000bebc20005f5e10011e1a3000000000011e1a30011e1a300
