 Run	    Fitness	                                                                                                                                                                                                Solution
   1	   61332765	11e1a30011e1a300000000000000000005f5e1000000000011e1a3000000000005f5e1000bebc20017d7840005f5e1000000000011e1a3000bebc2000000000017d7840017d7840011e1a30017d784000000000011e1a30017d784000bebc20005f5e100
   1	   77350563	000000000000000011e1a3000bebc20017d784000bebc2000000000005f5e10005f5e10011e1a30011e1a30017d7840011e1a30000000000000000000000000017d7840017d78400000000000000000005f5e10011e1a3000bebc2000bebc20000000000
   1	   77350564	11e1a3000000000000000000000000000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   77350565	11e1a3000000000000000000000000000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   77350566	11e1a3000000000000000000000000000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   77350567	11e1a3000000000000000000000000000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   77350568	11e1a3000000000000000000000000000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   86878194	11e1a3000000000000000000000000000bebc20017d7840005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   86878195	17d784000bebc200000000000000000017d7840017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   86878196	17d784000bebc200000000000000000017d7840017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   86878197	17d784000bebc200000000000000000017d7840017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   86878198	17d784000bebc200000000000000000017d7840017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   86892573	17d784000bebc200000000000000000017d7840017d7840005f5e10017d7840005f5e10017d784000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20005f5e10005f5e10011e1a300000000000bebc20011e1a300
   1	   86930737	17d7840000000000000000000000000017d7840011e1a30005f5e10017d784000bebc20017d7840005f5e10011e1a30011e1a30017d7840011e1a30017d784000000000017d784000000000005f5e10005f5e10017d78400000000000bebc20011e1a300
   2	   60469169	11e1a30011e1a300000000000000000005f5e1000000000011e1a3000000000005f5e1000bebc20017d7840005f5e1000000000011e1a3000bebc2000000000017d7840017d7840011e1a30017d784000000000011e1a30017d784000bebc20005f5e100
   2	   73423464	000000000000000011e1a3000bebc20017d784000bebc2000000000005f5e10005f5e10011e1a30011e1a30017d7840011e1a30000000000000000000000000017d7840017d78400000000000000000005f5e10011e1a3000bebc2000bebc20000000000
   2	   76578937	11e1a3000000000000000000000000000bebc2000bebc20005f5e10017d7840005f5e1000bebc2000bebc20011e1a30011e1a30017d7840011e1a30017d784000000000005f5e1000bebc20011e1a30005f5e10011e1a300000000000bebc20011e1a300
