 Run	    Fitness	                                                                                                                                                                                                Solution
   7	          0	00000000000000000000000000000000000000000000000000000000001919000000000000000000000000000000000000191900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   8	        256	001919000019190000191900001919000019190000191900001919000019190000191900001919000000190000191900000000000019190000191900000019000032189c001919000019190000191900000019000032189c0032189c0019190000191900
   8	        245	00000000000000000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
   8	        217	00001900000019000000190000321900000019000000190000000000003219000032190000321900000019000032190000321900003219000032190000001900003219000032190000321900003219000000190000321900003219000032190000321900
   8	        209	00000000001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
   8	          8	00191900001919000032189c0032189c0032189c000000000032189c0032189c0032189c0032189c000000000032189c0032189c0032189c0032189c00000000000000000000000000000000000000000000000000000000000000000000000000000000
   8	          2	00001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000321900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900
   9	        265	0032189c0032189c0000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
   9	        263	00000000001919000019190000191900001919000000000000191900001919000019190000191900000000000019190000191900001919000019190000000000001919000019190000191900000000000000000000000000000000000000000000000000
   9	        253	00000000001919000019190000191900003219000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
   9	          3	001919000019190000191900001919000032189c000019000019190000191900001919000032189c000019000032189c000000000032189c0032189c000019000032189c0032189c0032189c0032189c000019000032189c0032189c0032189c0032189c
   9	          1	00321900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900
   9	        -76	00321900003219000032189c0032189c0032189c0032190000321900000019000032189c0032189c003219000000190000001900000019000032189c003219000000190000001900000019000032189c0032190000001900000019000032189c0032189c
  10	        270	00321900003219000032190000321900003219000032190000191900001919000019190000321900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  10	        265	00000000000000000032189c0032189c0032189c0000000000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  10	        259	00321900000019000000190000001900000019000019190000001900000019000000190000001900001919000019190000001900000019000000190000191900001919000000190000001900000019000019190000191900000019000000190000001900
  10	        255	0032189c000019000000190000001900000019000032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  10	        249	0032190000321900003219000032190000321900003219000032190000000000000000000000000000321900000000000000000000000000000000000032189c000000000000000000000000000000000000000000000000000000000000000000000000
  10	        216	0032189c0032189c0019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        271	0032189c000019000000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        270	0032189c0032189c0032189c0032189c0032189c0032189c0032189c001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        268	000000000032189c0032189c0032189c0032189c0032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        211	00000000000000000000000000000000000000000000000000191900001919000000000000000000001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  11	        209	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  11	          0	00191900000000000000000000000000000000000019190000000000000000000000000000000000001919000000000000000000000000000000000000191900000000000000000000000000000000000019190000000000000000000000000000000000
  12	        273	00001900000019000032190000321900003219000019190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000000000000191900001919000019190000000000000000000000000000191900
  12	        265	00321900003219000032190000321900003219000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  12	        254	0032189c001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  12	        198	00000000000000000000000000000000000000000019190000000000000000000000000000000000001919000000000000000000000000000000000000321900000000000000000000000000000000000032190000321900000000000000000000000000
  12	          4	0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c
  12	          2	00001900000019000000190000001900000019000000190000001900001919000019190000001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c0032189c
  13	        271	00001900003219000032190000321900003219000019190000321900003219000032190000321900001919000019190000321900003219000032190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  13	        269	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  13	        265	003219000032190000191900001919000019190000321900003219000019190000191900001919000032189c0032190000191900001919000019190000321900003219000019190000191900001919000032190000321900001919000019190000191900
  13	        262	00001900000019000000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000000000000000000000000000000000001919000000000000000000000000000000000000000000
  13	        247	00000000000000000019190000321900003219000000000000191900001919000032190000321900000000000019190000191900003219000032190000000000000000000000000000191900001919000000000000000000000000000000000000000000
