 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
  12	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  12	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        195	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000000000000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  12	        195	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000000000000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        -63	0032190000000000000019000000000000001900003219000032189c001919000032189c00001900000019000019190000191900003219000000000000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  12	        -63	0032190000000000000019000000000000001900003219000032189c001919000032189c00001900000019000019190000191900003219000000000000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  13	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  13	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  13	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  13	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        222	0019190000000000001919000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  13	        222	0019190000000000001919000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        192	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000032190000321900000000000032189c00001900001919000032189c00001900000000000000000000001900
  13	        192	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000032190000321900000000000032189c00001900001919000032189c00001900000000000000000000001900	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  14	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  14	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  14	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  14	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        266	00000000000019000032189c0032189c00001900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000191900000019000032190000191900003219000000000000001900000000000032190000321900
  14	        266	00000000000019000032189c0032189c00001900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000191900000019000032190000191900003219000000000000001900000000000032190000321900	        191	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0032190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  14	        191	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0032190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  15	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  15	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  15	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  15	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        271	00000000000019000032189c0032189c00191900000000000032189c0032190000321900000000000032189c0032189c0032190000000000003219000032189c000019000032190000191900003219000000000000001900000000000000000000321900
  15	        271	00000000000019000032189c0032189c00191900000000000032189c0032190000321900000000000032189c0032189c0032190000000000003219000032189c000019000032190000191900003219000000000000001900000000000000000000321900	        259	0019190000000000000000000000000000001900001919000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000321900001919000032189c00191900000000000000190000191900
  15	        259	0019190000000000000000000000000000001900001919000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000321900001919000032189c00191900000000000000190000191900	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  16	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  16	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  16	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  16	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        242	0019190000000000000000000000000000001900003219000032189c000000000032190000001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  16	        242	0019190000000000000000000000000000001900003219000032189c000000000032190000001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        153	0019190000000000000019000000000000001900003219000032189c003219000000190000001900000019000019190000191900003219000019190000321900000000000032189c0032189c001919000032189c0032189c000000000000000000001900
  16	        153	0019190000000000000019000000000000001900003219000032189c003219000000190000001900000019000019190000191900003219000019190000321900000000000032189c0032189c001919000032189c0032189c000000000000000000001900	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  17	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  17	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  17	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  17	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        269	00000000000019000032189c00191900000019000032189c0032189c000019000032189c000000000032189c00321900003219000000000000321900003219000000190000321900001919000032189c0000000000001900000000000000000000000000
  17	        269	00000000000019000032189c00191900000019000032189c0032189c000019000032189c000000000032189c00321900003219000000000000321900003219000000190000321900001919000032189c0000000000001900000000000000000000000000	        210	00191900000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000191900000000000032190000321900000019000032190000191900003219000032190000001900000000000000000000321900
  17	        210	00191900000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000191900000000000032190000321900000019000032190000191900003219000032190000001900000000000000000000321900	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  18	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  18	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  18	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
