Run,Fitness,Solution
12,1257,00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000001000000
12,1097,00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000001000000
13,1112,00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000000000000
13,993,00000000000000000000000000000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000100000001000000
13,99,00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000000000000000000000
14,2233,00000000000000000000000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000001000000
14,1026,00000000000000000000000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000
14,669,00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000001000000
15,2023,00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000
15,1173,00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000001000000001000000
15,71,00000000000000000100000001000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000001000000
16,1079,00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000000000000001000000
16,367,00000000000000001000000000111111 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000000000001000000
16,364,00000000000000001000000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000000000001000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000001000000
17,1153,00000000000000000000000001000000 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000001000000000111111 00000000000000001000000000111111 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000000000000000000000 00000000000000001000000000111111 00000000000000001000000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000000100000001000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000000000001000000 00000000000000001000000001000000 00000000000000000100000001000000 00000000000000000100000001000000 00000000000000001000000000111111 00000000000000001000000001000000
