Run,Fitness,Blocks
7,0.075338304,32832 32832 32831 32831 0 32832 32832 32831 32831 0 32832 32832 32831 32831 0 32832 32832 32831 32831 0 32832 32832 32831 32831 0
7,1.73E-14,0 0 0 0 0 0 0 16448 0 0 0 0 16448 0 0 0 0 0 0 0 0 0 0 0 0
8,2.558099508,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 64 16448 0 16448 16448 64 32831 16448 16448 16448 64 32831 32831 16448 16448
8,2.447187901,0 0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
8,2.170695543,64 64 64 32832 64 64 0 32832 32832 32832 64 32832 32832 32832 32832 64 32832 32832 32832 32832 64 32832 32832 32832 32832
8,2.094165802,0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
8,0.083962955,16448 16448 32831 32831 32831 0 32831 32831 32831 32831 0 32831 32831 32831 32831 0 0 0 0 0 0 0 0 0 0
8,0.017583432,64 64 64 64 64 64 64 64 64 64 64 64 32832 64 64 64 64 64 64 64 64 64 64 64 64
9,2.646688938,32831 32831 64 64 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
9,2.627998114,0 16448 16448 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 0 0 0 0 0 0
9,2.529219151,0 16448 16448 16448 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
9,0.027883667,16448 16448 16448 16448 32831 64 16448 16448 16448 32831 64 32831 0 32831 32831 64 32831 32831 32831 32831 64 32831 32831 32831 32831
9,0.008315463,32832 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64
9,-0.759165883,32832 32832 32831 32831 32831 32832 32832 64 32831 32831 32832 64 64 64 32831 32832 64 64 64 32831 32832 64 64 32831 32831
10,2.701373577,32832 32832 32832 32832 32832 32832 16448 16448 16448 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
10,2.649732113,0 0 32831 32831 32831 0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
10,2.585519075,32832 64 64 64 64 16448 64 64 64 64 16448 16448 64 64 64 16448 16448 64 64 64 16448 16448 64 64 64
10,2.545001507,32831 64 64 64 64 32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
10,2.490484476,32832 32832 32832 32832 32832 32832 32832 0 0 0 32832 0 0 0 0 32831 0 0 0 0 0 0 0 0 0
10,2.159363747,32831 32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
11,2.708869696,32831 64 64 64 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
11,2.69533515,32831 32831 32831 32831 32831 32831 32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
11,2.68017602,0 32831 32831 32831 32831 32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
11,2.111996412,0 0 0 0 0 0 16448 16448 0 0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
11,2.090423822,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
11,6.51E-09,16448 0 0 0 0 16448 0 0 0 0 16448 0 0 0 0 16448 0 0 0 0 16448 0 0 0 0
12,2.729376316,64 64 32832 32832 32832 16448 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448 16448 0 16448 16448 16448 0 0 0 16448
12,2.649371147,32832 32832 32832 32832 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
12,2.539375544,32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
